| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                                     | remediation                                                                                | metadata                                                                                                                                | cache_key                                                                                |
| ---------------------- | ---------------------- | ----- | -------- | --------------- | --------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------- |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.gerente_lojas\` has a foreign key \`gerente_lojas_loja_id_fkey\` without a covering index. This can lead to suboptimal query performance.                   | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"gerente_lojas","type":"table","schema":"public","fkey_name":"gerente_lojas_loja_id_fkey","fkey_columns":[2]}                   | unindexed_foreign_keys_public_gerente_lojas_gerente_lojas_loja_id_fkey                   |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.inter_collections\` has a foreign key \`inter_collections_proposta_id_fkey\` without a covering index. This can lead to suboptimal query performance.       | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"inter_collections","type":"table","schema":"public","fkey_name":"inter_collections_proposta_id_fkey","fkey_columns":[2]}       | unindexed_foreign_keys_public_inter_collections_inter_collections_proposta_id_fkey       |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.observacoes_cobranca\` has a foreign key \`observacoes_cobranca_proposta_id_fkey\` without a covering index. This can lead to suboptimal query performance. | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"observacoes_cobranca","type":"table","schema":"public","fkey_name":"observacoes_cobranca_proposta_id_fkey","fkey_columns":[2]} | unindexed_foreign_keys_public_observacoes_cobranca_observacoes_cobranca_proposta_id_fkey |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.observacoes_cobranca\` has a foreign key \`observacoes_cobranca_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.     | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"observacoes_cobranca","type":"table","schema":"public","fkey_name":"observacoes_cobranca_user_id_fkey","fkey_columns":[3]}     | unindexed_foreign_keys_public_observacoes_cobranca_observacoes_cobranca_user_id_fkey     |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.parceiros\` has a foreign key \`fk_tabela_comercial\` without a covering index. This can lead to suboptimal query performance.                              | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"parceiros","type":"table","schema":"public","fkey_name":"fk_tabela_comercial","fkey_columns":[5]}                              | unindexed_foreign_keys_public_parceiros_fk_tabela_comercial                              |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.parceiros\` has a foreign key \`parceiros_tabela_comercial_padrao_id_fkey\` without a covering index. This can lead to suboptimal query performance.        | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"parceiros","type":"table","schema":"public","fkey_name":"parceiros_tabela_comercial_padrao_id_fkey","fkey_columns":[5]}        | unindexed_foreign_keys_public_parceiros_parceiros_tabela_comercial_padrao_id_fkey        |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.propostas\` has a foreign key \`propostas_produto_id_fkey\` without a covering index. This can lead to suboptimal query performance.                        | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"propostas","type":"table","schema":"public","fkey_name":"propostas_produto_id_fkey","fkey_columns":[11]}                       | unindexed_foreign_keys_public_propostas_propostas_produto_id_fkey                        |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.propostas\` has a foreign key \`propostas_tabela_comercial_id_fkey\` without a covering index. This can lead to suboptimal query performance.               | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"propostas","type":"table","schema":"public","fkey_name":"propostas_tabela_comercial_id_fkey","fkey_columns":[12]}              | unindexed_foreign_keys_public_propostas_propostas_tabela_comercial_id_fkey               |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.referencia_pessoal\` has a foreign key \`referencia_pessoal_proposta_id_fkey\` without a covering index. This can lead to suboptimal query performance.     | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"referencia_pessoal","type":"table","schema":"public","fkey_name":"referencia_pessoal_proposta_id_fkey","fkey_columns":[2]}     | unindexed_foreign_keys_public_referencia_pessoal_referencia_pessoal_proposta_id_fkey     |
